P_grid_kWh,P_chg_kWh,P_dis_kWh,P_curt_kWh,E_bat_kWh
0.0,223.07558333333327,0.0,0.0,10074.969975000002
0.0,198.7593166666667,0.0,0.0,10253.853360000001
0.0,177.35981666666672,0.0,0.0,10413.477195000001
0.0,151.74029999999993,0.0,0.0,10550.043465
0.0,120.03503333333325,0.0,0.0,10658.074995
0.0,87.81445,0.0,0.0,10737.108
0.0,53.62486666666655,0.0,0.0,10785.37038
0.0,16.255133333333408,0.0,0.0,10800.0
0.0,0.0,23.78136666666675,0.0,10773.57625925926
0.0,0.0,67.3200166666667,0.0,10698.77624074074
112.0898666666667,0.0,0.0,0.0,10698.77624074074
266.7326936213991,112.47084362139908,0.0,0.0,10800.0
197.52351666666664,0.0,0.0,0.0,10800.0
244.81403333333324,0.0,0.0,0.0,10800.0
295.5346166666667,0.0,0.0,0.0,10800.0
345.77750000000003,0.0,0.0,0.0,10800.0
394.93148333333335,0.0,0.0,0.0,10800.0
445.43165000000005,0.0,-0.0,0.0,10800.0
495.69658333333325,0.0,-0.0,0.0,10800.0
547.11905,0.0,-0.0,0.0,10800.0
599.9854333333333,0.0,-0.0,0.0,10800.0
635.4297499999999,0.0,-0.0,0.0,10800.0
660.8306833333334,0.0,-0.0,0.0,10800.0
702.0369333333333,0.0,-0.0,0.0,10800.0
738.0657833333332,0.0,-0.0,0.0,10800.0
775.9447166666666,0.0,-0.0,0.0,10800.0
826.0832499999999,0.0,0.0,0.0,10800.0
762.4227999999999,0.0,-0.0,0.0,10800.0
636.9826166666667,0.0,-0.0,0.0,10800.0
531.8940499999999,0.0,109.26725000000006,0.0,10678.591944444444
678.8305333333333,0.0,0.0,0.0,10678.591944444444
686.2684999999999,0.0,0.0,0.0,10678.591944444444
696.5043833333332,0.0,0.0,0.0,10678.591944444444
0.0,0.0,704.6342666666666,0.0,9895.664981481481
0.0,0.0,706.4840333333333,0.0,9110.682722222222
0.0,0.0,707.4064666666666,0.0,8324.675537037037
0.0,0.0,708.553,0.0,7537.394425925926
0.0,0.0,709.4468833333333,0.0,6749.120111111111
0.0,0.0,711.23245,0.0,5958.861833333333
0.0,0.0,711.6625,0.0,5168.125722222222
0.0,0.0,711.4450333333332,0.0,4377.63124074074
0.0,0.0,713.7040833333333,0.0,3584.6267037037037
0.0,0.0,715.28415,0.0,2789.8665370370372
0.0,0.0,715.22685,0.0,1995.170037037037
0.0,0.0,715.6530333333333,0.0,1200.0
715.8689166666666,0.0,-0.0,0.0,1200.0
717.0051166666667,0.0,0.0,0.0,1200.0
720.1603,0.0,0.0,0.0,1200.0
717.0548666666666,0.0,0.0,0.0,1200.0
720.4459666666667,0.0,0.0,0.0,1200.0
738.1347166666666,0.0,-0.0,0.0,1200.0
671.6935666666666,-0.0,0.0,0.0,1200.0
1393.7903166666667,833.3333333333333,0.0,0.0,1950.0
1384.8989000000001,833.3333333333333,0.0,0.0,2700.0
568.8260499999999,0.0,0.0,0.0,2700.0
1396.98855,833.3333333333333,0.0,0.0,3450.0
1397.7598666666665,833.3333333333333,0.0,0.0,4200.0
566.7474333333332,0.0,0.0,0.0,4200.0
1399.8737666666666,833.3333333333333,0.0,0.0,4950.0
567.83015,0.0,0.0,0.0,4950.0
569.3586333333333,0.0,0.0,0.0,4950.0
1403.6635166666667,833.3333333333333,0.0,0.0,5700.0
904.9487166666668,333.3333333333333,0.0,0.0,6000.0
573.1768333333333,0.0,0.0,0.0,6000.0
574.1209833333332,0.0,0.0,0.0,6000.0
